Z1,G1,P1,R1,χ1,Im1,Z2,P2,R2,χ2,Im2,NH,Gads,ΔG≠
21,3,4,1.84,1.36,6.56,29,4,1.45,1.9,7.73,4,-0.25,0.21
26,8,4,1.56,1.83,7.9,29,4,1.45,1.9,7.73,4,-0.06,0.01
27,9,4,1.52,1.88,7.88,29,4,1.45,1.9,7.73,4,-0.81,0.06
29,11,4,1.45,1.9,7.73,29,4,1.45,1.9,7.73,4,0,0.57
44,8,5,1.78,2.2,7.36,29,4,1.45,1.9,7.73,4,-0.93,0.02
45,9,5,1.73,2.28,7.46,29,4,1.45,1.9,7.73,4,-0.74,0.35
46,10,5,1.69,2.2,8.34,29,4,1.45,1.9,7.73,4,-0.25,0.65
77,9,6,1.8,2.2,9.12,29,4,1.45,1.9,7.73,4,-0.88,0.43
78,10,6,1.77,2.28,9.02,29,4,1.45,1.9,7.73,4,-0.33,0.7
21,3,4,1.84,1.36,6.56,29,4,1.45,1.9,7.73,3,-2.81,0.63
26,8,4,1.56,1.83,7.9,29,4,1.45,1.9,7.73,3,-1.58,0.28
27,9,4,1.52,1.88,7.88,29,4,1.45,1.9,7.73,3,-2.98,0.39
29,11,4,1.45,1.9,7.73,29,4,1.45,1.9,7.73,3,-2.12,0.5
44,8,5,1.78,2.2,7.36,29,4,1.45,1.9,7.73,3,-2.34,0.36
45,9,5,1.73,2.28,7.46,29,4,1.45,1.9,7.73,3,-1.9,0.3
46,10,5,1.69,2.2,8.34,29,4,1.45,1.9,7.73,3,-1.14,0.46
77,9,6,1.8,2.2,9.12,29,4,1.45,1.9,7.73,3,-2.05,0.38
78,10,6,1.77,2.28,9.02,29,4,1.45,1.9,7.73,3,-1.53,0.45
21,3,4,1.84,1.36,6.56,29,4,1.45,1.9,7.73,2,-0.99,0.47
26,8,4,1.56,1.83,7.9,29,4,1.45,1.9,7.73,2,-1.54,0.5
27,9,4,1.52,1.88,7.88,29,4,1.45,1.9,7.73,2,-1.8,0.61
29,11,4,1.45,1.9,7.73,29,4,1.45,1.9,7.73,2,0.81,0.74
